flight_number,flight_title,service_provider_name,scheduled_time,departure_time,date
4M 936,Antalya,Mavi Gök Airlines (MGA),N/A,N/A,2024-08-11
TK 3025,Antalya,Turkish Airlines,04:45,N/A,2024-08-11
BT 362,Riia,Air Baltic Corporation,05:30,N/A,2024-08-11
LO 792,Varssavi (Chopin),LOT - Polish Airlines,05:45,N/A,2024-08-11
AY 1036,Helsingi,Finnair,06:00,N/A,2024-08-11
LX 1317,Zürich,Swiss,06:05,N/A,2024-08-11
LH 885,Frankfurt,Deutsche Lufthansa,06:10,N/A,2024-08-11
SK 1783,Stockholm (Arlanda),Scandinavian Airlines System (SAS),06:50,N/A,2024-08-11
AY 1012,Helsingi,Finnair,06:55,N/A,2024-08-11
BT 811,Kopenhaagen,Air Baltic Corporation,06:55,N/A,2024-08-11
BT 865,Nice,Air Baltic Corporation,07:10,N/A,2024-08-11
BT 857,Amsterdam (Schiphol),Air Baltic Corporation,07:30,N/A,2024-08-11
HN 3415,Tivat,Heston Airlines,07:30,N/A,2024-08-11
BT 887,Heraklion,Air Baltic Corporation,07:50,N/A,2024-08-11
LO 790,Varssavi (Chopin),LOT - Polish Airlines,08:55,N/A,2024-08-11
BT 312,Riia,Air Baltic Corporation,09:10,N/A,2024-08-11
AY 1014,Helsingi,Finnair,09:55,N/A,2024-08-11
SK 749,Stockholm (Arlanda),Scandinavian Airlines System (SAS),10:40,N/A,2024-08-11
FR 8903,Milano (Malpensa),Ryanair,11:00,N/A,2024-08-11
AY 1016,Helsingi,Finnair,11:45,N/A,2024-08-11
D8 2011,Oslo,Norwegian Air Sweden AOC,12:15,N/A,2024-08-11
LH 2405,München,Deutsche Lufthansa,12:55,N/A,2024-08-11
AY 1018,Helsingi,Finnair,12:55,N/A,2024-08-11
FR 4657,Stockholm (Arlanda),Ryanair,13:25,N/A,2024-08-11
LH 881,Frankfurt,Deutsche Lufthansa,13:50,N/A,2024-08-11
BT 821,Berliin,Air Baltic Corporation,13:55,N/A,2024-08-11
LO 786,Varssavi (Chopin),LOT - Polish Airlines,14:20,N/A,2024-08-11
AY 1020,Helsingi,Finnair,14:55,N/A,2024-08-11
BT 314,Riia,Air Baltic Corporation,15:20,N/A,2024-08-11
BT 813,Billund,Air Baltic Corporation,15:20,N/A,2024-08-11
SK 1787,Kopenhaagen,Scandinavian Airlines System (SAS),15:45,N/A,2024-08-11
BT 871,London (Gatwick),Air Baltic Corporation,15:55,N/A,2024-08-11
BT 902,Vilnius,Air Baltic Corporation,16:10,N/A,2024-08-11
AY 1022,Helsingi,Finnair,16:35,N/A,2024-08-11
FR 2733,Berliin,Ryanair,16:40,N/A,2024-08-11
OJ 225,Kärdla,Nyxair,17:00,N/A,2024-08-11
SK 1745,Stockholm (Arlanda),Scandinavian Airlines System (SAS),17:05,N/A,2024-08-11
EW 4281,Praha,Eurowings,17:15,N/A,2024-08-11
AY 1024,Helsingi,Finnair,17:20,N/A,2024-08-11
FR 5605,Rooma (Ciampino),Ryanair,17:40,N/A,2024-08-11
BT 863,Pariis (Charles De Gaulle),Air Baltic Corporation,17:45,N/A,2024-08-11
OJ 207,Kuressaare,Nyxair,18:30,N/A,2024-08-11
LO 788,Varssavi (Chopin),LOT - Polish Airlines,18:30,N/A,2024-08-11
LH 883,Frankfurt,Deutsche Lufthansa,18:40,N/A,2024-08-11
BT 853,Brüssel,Air Baltic Corporation,18:50,N/A,2024-08-11
TK 1424,Istanbul,Turkish Airlines,19:40,N/A,2024-08-11
BT 815,Oslo,Air Baltic Corporation,20:10,N/A,2024-08-11
SK 1749,Stockholm (Arlanda),Scandinavian Airlines System (SAS),20:40,N/A,2024-08-11
TO 7409,Pariis (Orly),Transavia France,20:45,N/A,2024-08-11
W9 5446,London (Luton),Wizz Air UK,21:30,N/A,2024-08-11
BT 318,Riia,Air Baltic Corporation,21:40,N/A,2024-08-11
FR 4623,Stockholm (Arlanda),Ryanair,21:50,N/A,2024-08-11
AY 1032,Helsingi,Finnair,23:05,N/A,2024-08-11
FR 2224,London (Stansted),Ryanair,23:30,N/A,2024-08-11
