flight_number,flight_title,service_provider_name,scheduled_time,departure_time,date
BT 887,Heraklion,Air Baltic Corporation,N/A,N/A,2025-05-18
AY 1012,Helsingi,Finnair,N/A,N/A,2025-05-18
LO 790,Varssavi (Chopin),LOT - Polish Airlines,N/A,N/A,2025-05-18
BT 312,Riia,Air Baltic Corporation,09:05,N/A,2025-05-18
AY 1014,Helsingi,Finnair,10:00,N/A,2025-05-18
FR 8903,Milano (Malpensa),Ryanair,10:10,N/A,2025-05-18
SK 749,Stockholm (Arlanda),Scandinavian Airlines System (SAS),11:00,N/A,2025-05-18
FR 2224,London (Stansted),Ryanair,11:25,N/A,2025-05-18
AY 1016,Helsingi,Finnair,11:35,N/A,2025-05-18
D8 2011,Oslo,Norwegian Air Sweden AOC,12:15,N/A,2025-05-18
TK 1422,Istanbul,Turkish Airlines,12:35,N/A,2025-05-18
LH 2405,München,Deutsche Lufthansa,12:55,N/A,2025-05-18
AY 1018,Helsingi,Finnair,12:55,N/A,2025-05-18
BT 811,Kopenhaagen,Air Baltic Corporation,13:05,N/A,2025-05-18
FR 4645,Stockholm (Arlanda),Ryanair,13:25,N/A,2025-05-18
BT 821,Berliin,Air Baltic Corporation,13:55,N/A,2025-05-18
BT 859,Amsterdam,Air Baltic Corporation,14:05,N/A,2025-05-18
LO 786,Varssavi (Chopin),LOT - Polish Airlines,14:20,N/A,2025-05-18
LH 881,Frankfurt,Deutsche Lufthansa,14:25,N/A,2025-05-18
AY 1020,Helsingi,Finnair,14:55,N/A,2025-05-18
BT 316,Riia,Air Baltic Corporation,15:30,N/A,2025-05-18
FR 5694,Dublin,Ryanair,15:35,N/A,2025-05-18
SK 1787,Kopenhaagen,Scandinavian Airlines System (SAS),15:45,N/A,2025-05-18
FR 2733,Berliin,Ryanair,16:20,N/A,2025-05-18
EW 4281,Praha,Eurowings,16:40,N/A,2025-05-18
AY 1022,Helsingi,Finnair,16:45,N/A,2025-05-18
OJ 225,Kärdla,Nyxair,17:00,N/A,2025-05-18
SK 1745,Stockholm (Arlanda),Scandinavian Airlines System (SAS),17:05,N/A,2025-05-18
AY 1024,Helsingi,Finnair,17:20,N/A,2025-05-18
BT 853,Brüssel,Air Baltic Corporation,17:30,N/A,2025-05-18
BT 863,Pariis (Charles De Gaulle),Air Baltic Corporation,17:45,N/A,2025-05-18
LO 788,Varssavi (Chopin),LOT - Polish Airlines,18:25,N/A,2025-05-18
OJ 207,Kuressaare,Nyxair,18:30,N/A,2025-05-18
BT 827,München,Air Baltic Corporation,19:00,N/A,2025-05-18
LH 883,Frankfurt,Deutsche Lufthansa,19:00,N/A,2025-05-18
W9 5446,London (Luton),Wizz Air UK,19:40,N/A,2025-05-18
BT 815,Oslo,Air Baltic Corporation,20:45,N/A,2025-05-18
SK 1749,Stockholm (Arlanda),Scandinavian Airlines System (SAS),20:50,N/A,2025-05-18
BT 318,Riia,Air Baltic Corporation,21:25,N/A,2025-05-18
BT 906,Vilnius,Air Baltic Corporation,22:25,N/A,2025-05-18
AY 1032,Helsingi,Finnair,22:35,N/A,2025-05-18
FR 4623,Stockholm (Arlanda),Ryanair,23:55,N/A,2025-05-18
