flight_number,flight_title,service_provider_name,scheduled_time,departure_time,date
SK 1791,Kopenhaagen,Scandinavian Airlines System (SAS),N/A,N/A,2026-06-17
SK 1771,Stockholm (Arlanda),Scandinavian Airlines System (SAS),N/A,N/A,2026-06-17
AY 1012,Helsingi,Finnair,N/A,N/A,2026-06-17
BT 857,Amsterdam - Schiphol,Air Baltic Corporation,07:30,N/A,2026-06-17
OJ 223,Kärdla,Nyxair,07:30,N/A,2026-06-17
OJ 201,Kuressaare,Nyxair,07:40,N/A,2026-06-17
W6 1968,Vilnius,Wizz Air Hungary,08:05,N/A,2026-06-17
BT 902,Vilnius,Air Baltic Corporation,08:50,N/A,2026-06-17
BT 312,Riia,Air Baltic Corporation,09:10,N/A,2026-06-17
BT 887,Heraklion,Air Baltic Corporation,09:15,N/A,2026-06-17
W6 1726,Gdańsk (Lech Wałęsa),Wizz Air Hungary,09:30,N/A,2026-06-17
AY 1014,Helsingi,Finnair,10:55,N/A,2026-06-17
W4 6134,Rooma (Fiumicino),Wizz Air Malta,11:10,N/A,2026-06-17
TK 1422,Istanbul,Turkish Airlines,11:15,N/A,2026-06-17
SK 1797,Kopenhaagen,Scandinavian Airlines System (SAS),11:20,N/A,2026-06-17
W9 5446,London (Luton),Wizz Air UK,11:35,N/A,2026-06-17
BT 821,Berliin,Air Baltic Corporation,12:00,N/A,2026-06-17
D8 2011,Oslo,Norwegian Air Sweden AOC,12:15,N/A,2026-06-17
AY 1016,Helsingi,Finnair,12:50,N/A,2026-06-17
LH 881,Frankfurt,Deutsche Lufthansa,13:50,N/A,2026-06-17
BT 314,Riia,Air Baltic Corporation,14:00,N/A,2026-06-17
BT 859,Amsterdam - Schiphol,Air Baltic Corporation,14:05,N/A,2026-06-17
AY 1018,Helsingi,Finnair,14:10,N/A,2026-06-17
BT 831,Viin,Air Baltic Corporation,14:20,N/A,2026-06-17
LO 786,Varssavi (Chopin),LOT - Polish Airlines,14:20,N/A,2026-06-17
FR 2733,Berliin,Ryanair,14:50,N/A,2026-06-17
FR 4611,Stockholm (Arlanda),Ryanair,15:00,N/A,2026-06-17
SK 1787,Kopenhaagen,Scandinavian Airlines System (SAS),15:50,N/A,2026-06-17
SK 1745,Stockholm (Arlanda),Scandinavian Airlines System (SAS),16:00,N/A,2026-06-17
AY 1024,Helsingi,Finnair,16:10,N/A,2026-06-17
AY 1020,Helsingi,Finnair,16:40,N/A,2026-06-17
BT 861,Pariis (Charles De Gaulle),Air Baltic Corporation,16:55,N/A,2026-06-17
OJ 225,Kärdla,Nyxair,17:00,N/A,2026-06-17
AY 1022,Helsingi,Finnair,17:20,N/A,2026-06-17
BT 316,Riia,Air Baltic Corporation,17:45,N/A,2026-06-17
LO 788,Varssavi (Chopin),LOT - Polish Airlines,18:25,N/A,2026-06-17
OJ 207,Kuressaare,Nyxair,18:30,N/A,2026-06-17
BT 823,München,Air Baltic Corporation,19:10,N/A,2026-06-17
SK 1749,Stockholm (Arlanda),Scandinavian Airlines System (SAS),20:20,N/A,2026-06-17
BT 906,Vilnius,Air Baltic Corporation,20:35,N/A,2026-06-17
FR 2224,London (Stansted),Ryanair,21:15,N/A,2026-06-17
AY 1028,Helsingi,Finnair,21:20,N/A,2026-06-17
BT 318,Riia,Air Baltic Corporation,21:40,N/A,2026-06-17
W6 1366,Varssavi (Chopin),Wizz Air Hungary,22:20,N/A,2026-06-17
AY 1032,Helsingi,Finnair,23:15,N/A,2026-06-17
FR 4623,Stockholm (Arlanda),Ryanair,23:35,N/A,2026-06-17
