flight_number,flight_title,service_provider_name,scheduled_time,departure_time,date
BT 885,Rhodos,Air Baltic Corporation,N/A,N/A,2026-07-18
LX 1317,Zürich,Swiss,N/A,N/A,2026-07-18
BT 362,Riia,Air Baltic Corporation,05:35,N/A,2026-07-18
LO 792,Varssavi (Chopin),LOT - Polish Airlines,05:45,N/A,2026-07-18
BT 891,Palma De Mallorca,Air Baltic Corporation,06:00,N/A,2026-07-18
AY 1036,Helsingi,Finnair,06:00,N/A,2026-07-18
LH 885,Frankfurt,Deutsche Lufthansa,06:10,N/A,2026-07-18
SK 1791,Kopenhaagen,Scandinavian Airlines System (SAS),06:15,N/A,2026-07-18
SK 1771,Stockholm (Arlanda),Scandinavian Airlines System (SAS),06:45,N/A,2026-07-18
BT 879,Malaga,Air Baltic Corporation,07:30,N/A,2026-07-18
BT 857,Amsterdam - Schiphol,Air Baltic Corporation,07:30,N/A,2026-07-18
W6 1968,Vilnius,Wizz Air Hungary,08:05,N/A,2026-07-18
AY 1014,Helsingi,Finnair,08:10,N/A,2026-07-18
OJ 223,Kärdla,Nyxair,09:15,N/A,2026-07-18
BT 312,Riia,Air Baltic Corporation,09:20,N/A,2026-07-18
OJ 201,Kuressaare,Nyxair,10:05,N/A,2026-07-18
AY 1016,Helsingi,Finnair,10:10,N/A,2026-07-18
AY 1018,Helsingi,Finnair,13:40,N/A,2026-07-18
LH 881,Frankfurt,Deutsche Lufthansa,14:00,N/A,2026-07-18
BT 859,Amsterdam - Schiphol,Air Baltic Corporation,14:05,N/A,2026-07-18
LO 786,Varssavi (Chopin),LOT - Polish Airlines,14:20,N/A,2026-07-18
BT 314,Riia,Air Baltic Corporation,15:15,N/A,2026-07-18
W6 2424,Budapest,Wizz Air Hungary,15:25,N/A,2026-07-18
AY 1020,Helsingi,Finnair,15:35,N/A,2026-07-18
HOT 3471,Heraklion,Valletta Airlines,15:40,N/A,2026-07-18
SK 1787,Kopenhaagen,Scandinavian Airlines System (SAS),15:50,N/A,2026-07-18
OJ 209,Kuressaare,Nyxair,16:10,N/A,2026-07-18
SK 1745,Stockholm (Arlanda),Scandinavian Airlines System (SAS),16:20,N/A,2026-07-18
AY 1024,Helsingi,Finnair,16:45,N/A,2026-07-18
BT 871,London (Gatwick),Air Baltic Corporation,17:00,N/A,2026-07-18
BT 887,Heraklion,Air Baltic Corporation,17:15,N/A,2026-07-18
AY 1022,Helsingi,Finnair,17:20,N/A,2026-07-18
W6 2046,Kraków,Wizz Air Hungary,17:30,N/A,2026-07-18
LH 883,Frankfurt,Deutsche Lufthansa,18:20,N/A,2026-07-18
LO 788,Varssavi (Chopin),LOT - Polish Airlines,18:25,N/A,2026-07-18
BT 845,Burgas,Air Baltic Corporation,18:45,N/A,2026-07-18
TK 1424,Istanbul,Turkish Airlines,19:35,N/A,2026-07-18
BT 889,Malta,Air Baltic Corporation,20:35,N/A,2026-07-18
AY 1028,Helsingi,Finnair,21:20,N/A,2026-07-18
W6 1366,Varssavi (Chopin),Wizz Air Hungary,21:20,N/A,2026-07-18
BT 318,Riia,Air Baltic Corporation,21:40,N/A,2026-07-18
FR 2733,Berliin,Ryanair,22:00,N/A,2026-07-18
AY 1032,Helsingi,Finnair,23:15,N/A,2026-07-18
FR 4611,Stockholm (Arlanda),Ryanair,23:55,N/A,2026-07-18
