flight_number,flight_title,service_provider_name,scheduled_time,departure_time,date
XQ 497,Antalya,SunExpress - Günes Ekspres Havacilik,04:25,N/A,2025-10-05
FH 732,Antalya,Freebird Airlines,04:40,N/A,2025-10-05
U5 7105,Sharm El Sheikh,SkyUp MT,04:50,N/A,2025-10-05
BT 849,Split,Air Baltic Corporation,05:05,N/A,2025-10-05
BT 362,Riia,Air Baltic Corporation,05:40,N/A,2025-10-05
LO 792,Varssavi (Chopin),LOT - Polish Airlines,05:45,N/A,2025-10-05
AY 1036,Helsingi,Finnair,06:00,N/A,2025-10-05
LX 1317,Zürich,Swiss,06:00,N/A,2025-10-05
LH 885,Frankfurt,Deutsche Lufthansa,06:00,N/A,2025-10-05
BT 865,Nice,Air Baltic Corporation,N/A,N/A,2025-10-05
SK 1791,Kopenhaagen,Scandinavian Airlines System (SAS),06:35,N/A,2025-10-05
SK 1771,Stockholm (Arlanda),Scandinavian Airlines System (SAS),07:15,N/A,2025-10-05
HN 3415,Tivat,Heston Airlines,07:30,N/A,2025-10-05
BT 857,Amsterdam,Air Baltic Corporation,N/A,N/A,2025-10-05
BT 887,Heraklion,Air Baltic Corporation,07:55,N/A,2025-10-05
AY 1012,Helsingi,Finnair,08:00,N/A,2025-10-05
LO 790,Varssavi (Chopin),LOT - Polish Airlines,08:55,N/A,2025-10-05
BT 312,Riia,Air Baltic Corporation,09:05,N/A,2025-10-05
SK 749,Stockholm (Arlanda),Scandinavian Airlines System (SAS),09:10,N/A,2025-10-05
AY 1014,Helsingi,Finnair,10:00,N/A,2025-10-05
FR 8903,Milano (Malpensa),Ryanair,10:10,N/A,2025-10-05
4M 860,Antalya,Mavi Gök Airlines (MGA),11:10,N/A,2025-10-05
FR 2224,London (Stansted),Ryanair,11:25,N/A,2025-10-05
AY 1016,Helsingi,Finnair,11:35,N/A,2025-10-05
D8 2011,Oslo,Norwegian Air Sweden AOC,12:15,N/A,2025-10-05
4M 4692,Antalya,Mavi Gök Airlines (MGA),12:20,N/A,2025-10-05
TK 1422,Istanbul,Turkish Airlines,12:35,N/A,2025-10-05
AY 1018,Helsingi,Finnair,12:55,N/A,2025-10-05
LH 2405,München,Deutsche Lufthansa,12:55,N/A,2025-10-05
BT 811,Kopenhaagen,Air Baltic Corporation,13:05,N/A,2025-10-05
FR 4645,Stockholm (Arlanda),Ryanair,13:25,N/A,2025-10-05
BT 821,Berliin,Air Baltic Corporation,13:55,N/A,2025-10-05
BT 859,Amsterdam,Air Baltic Corporation,14:05,N/A,2025-10-05
LO 786,Varssavi (Chopin),LOT - Polish Airlines,14:20,N/A,2025-10-05
LH 881,Frankfurt,Deutsche Lufthansa,14:25,N/A,2025-10-05
AY 1020,Helsingi,Finnair,14:55,N/A,2025-10-05
BT 316,Riia,Air Baltic Corporation,15:30,N/A,2025-10-05
FR 5694,Dublin,Ryanair,15:35,N/A,2025-10-05
SK 1745,Stockholm (Arlanda),Scandinavian Airlines System (SAS),15:35,N/A,2025-10-05
SK 1787,Kopenhaagen,Scandinavian Airlines System (SAS),15:45,N/A,2025-10-05
FR 2733,Berliin,Ryanair,16:20,N/A,2025-10-05
EW 4281,Praha,Eurowings,16:40,N/A,2025-10-05
AY 1022,Helsingi,Finnair,16:45,N/A,2025-10-05
OJ 225,Kärdla,Nyxair,17:00,N/A,2025-10-05
AY 1024,Helsingi,Finnair,17:20,N/A,2025-10-05
BT 853,Brüssel,Air Baltic Corporation,17:30,N/A,2025-10-05
BT 863,Pariis (Charles De Gaulle),Air Baltic Corporation,17:45,N/A,2025-10-05
LO 788,Varssavi (Chopin),LOT - Polish Airlines,18:25,N/A,2025-10-05
OJ 207,Kuressaare,Nyxair,18:30,N/A,2025-10-05
BT 827,München,Air Baltic Corporation,19:00,N/A,2025-10-05
LH 883,Frankfurt,Deutsche Lufthansa,19:00,N/A,2025-10-05
BT 815,Oslo,Air Baltic Corporation,20:45,N/A,2025-10-05
SK 1749,Stockholm (Arlanda),Scandinavian Airlines System (SAS),21:00,N/A,2025-10-05
W9 5446,London (Luton),Wizz Air UK,21:10,N/A,2025-10-05
BT 318,Riia,Air Baltic Corporation,21:25,N/A,2025-10-05
BT 906,Vilnius,Air Baltic Corporation,22:25,N/A,2025-10-05
AY 1032,Helsingi,Finnair,22:35,N/A,2025-10-05
FR 4623,Stockholm (Arlanda),Ryanair,23:55,N/A,2025-10-05
