flight_number,flight_title,service_provider_name,scheduled_time,departure_time,date
BT 362,Riia,Air Baltic Corporation,05:30,N/A,2025-03-21
LO 792,Varssavi (Chopin),LOT - Polish Airlines,05:45,N/A,2025-03-21
AY 1036,Helsingi,Finnair,06:00,N/A,2025-03-21
LX 1317,Zürich,Swiss,06:05,N/A,2025-03-21
LH 885,Frankfurt,Deutsche Lufthansa,06:25,N/A,2025-03-21
BT 821,Berliin,Air Baltic Corporation,07:00,N/A,2025-03-21
SK 1783,Stockholm (Arlanda),Scandinavian Airlines System (SAS),07:00,N/A,2025-03-21
OJ 223,Kärdla,Nyxair,07:30,N/A,2025-03-21
BT 857,Amsterdam,Air Baltic Corporation,07:35,N/A,2025-03-21
BT 879,Malaga,Air Baltic Corporation,07:40,N/A,2025-03-21
OJ 201,Kuressaare,Nyxair,07:40,N/A,2025-03-21
BT 881,Tenerife (South),Air Baltic Corporation,07:45,N/A,2025-03-21
AY 1012,Helsingi,Finnair,08:25,N/A,2025-03-21
LO 790,Varssavi (Chopin),LOT - Polish Airlines,08:55,N/A,2025-03-21
BT 312,Riia,Air Baltic Corporation,08:55,N/A,2025-03-21
FR 4764,Milano (Bergamo),Ryanair,10:45,N/A,2025-03-21
SK 749,Stockholm (Arlanda),Scandinavian Airlines System (SAS),11:10,N/A,2025-03-21
FR 330,Veneetsia-Treviso,Ryanair,11:20,N/A,2025-03-21
D8 2011,Oslo,Norwegian Air Sweden AOC,12:15,N/A,2025-03-21
TK 1422,Istanbul,Turkish Airlines,12:20,N/A,2025-03-21
BT 906,Vilnius,Air Baltic Corporation,13:25,N/A,2025-03-21
LH 881,Frankfurt,Deutsche Lufthansa,13:40,N/A,2025-03-21
LO 786,Varssavi (Chopin),LOT - Polish Airlines,14:05,N/A,2025-03-21
FR 4623,Stockholm (Arlanda),Ryanair,14:20,N/A,2025-03-21
XQ 497,Antalya,SunExpress - Günes Ekspres Havacilik,14:30,N/A,2025-03-21
AY 1020,Helsingi,Finnair,14:40,N/A,2025-03-21
BT 316,Riia,Air Baltic Corporation,15:20,N/A,2025-03-21
AY 1022,Helsingi,Finnair,15:35,N/A,2025-03-21
BT 861,Pariis (Charles De Gaulle),Air Baltic Corporation,15:55,N/A,2025-03-21
AY 1040,Helsingi,Finnair,16:30,N/A,2025-03-21
SK 1745,Stockholm (Arlanda),Scandinavian Airlines System (SAS),16:35,N/A,2025-03-21
OJ 225,Kärdla,Nyxair,17:00,N/A,2025-03-21
BT 859,Amsterdam,Air Baltic Corporation,17:05,N/A,2025-03-21
AY 1026,Helsingi,Finnair,17:20,N/A,2025-03-21
LH 883,Frankfurt,Deutsche Lufthansa,18:05,N/A,2025-03-21
LO 788,Varssavi (Chopin),LOT - Polish Airlines,18:20,N/A,2025-03-21
OJ 207,Kuressaare,Nyxair,18:30,N/A,2025-03-21
BT 811,Kopenhaagen,Air Baltic Corporation,18:30,N/A,2025-03-21
FR 9641,Paphos,Ryanair,19:45,N/A,2025-03-21
SK 1749,Stockholm (Arlanda),Scandinavian Airlines System (SAS),21:05,N/A,2025-03-21
FR 736,Viin,Ryanair,21:15,N/A,2025-03-21
BT 318,Riia,Air Baltic Corporation,21:25,N/A,2025-03-21
FR 2224,London (Stansted),Ryanair,21:40,N/A,2025-03-21
W9 5446,London (Luton),Wizz Air UK,21:45,N/A,2025-03-21
AY 1028,Helsingi,Finnair,21:45,N/A,2025-03-21
AY 1032,Helsingi,Finnair,22:20,N/A,2025-03-21
