flight_number,flight_title,service_provider_name,scheduled_time,departure_time,date
4M 946,Antalya,Mavi Gök Airlines (MGA),03:55,N/A,2024-10-17
XQ 497,Antalya,SunExpress - Günes Ekspres Havacilik,N/A,N/A,2024-10-17
FH 418,Antalya,Freebird Airlines,04:30,N/A,2024-10-17
TK 3025,Antalya,Turkish Airlines,N/A,N/A,2024-10-17
STM 3461,Antalya,Skystream Airlines,05:30,N/A,2024-10-17
BT 362,Riia,Air Baltic Corporation,05:35,N/A,2024-10-17
LO 792,Varssavi (Chopin),LOT - Polish Airlines,05:45,N/A,2024-10-17
AY 1036,Helsingi,Finnair,06:00,N/A,2024-10-17
LX 1317,Zürich,Swiss,06:05,N/A,2024-10-17
LH 885,Frankfurt,Deutsche Lufthansa,06:10,N/A,2024-10-17
SK 1783,Stockholm (Arlanda),Scandinavian Airlines System (SAS),06:50,N/A,2024-10-17
AY 1012,Helsingi,Finnair,N/A,N/A,2024-10-17
BT 823,München,Air Baltic Corporation,07:20,N/A,2024-10-17
OJ 223,Kärdla,Nyxair,07:30,N/A,2024-10-17
OJ 201,Kuressaare,Nyxair,07:40,N/A,2024-10-17
SK 1771,Stockholm (Arlanda),Scandinavian Airlines System (SAS),07:45,N/A,2024-10-17
BT 857,Amsterdam (Schiphol),Air Baltic Corporation,07:50,N/A,2024-10-17
BT 902,Vilnius,Air Baltic Corporation,09:00,N/A,2024-10-17
BT 815,Oslo,Air Baltic Corporation,09:05,N/A,2024-10-17
BT 312,Riia,Air Baltic Corporation,09:10,N/A,2024-10-17
AY 1014,Helsingi,Finnair,09:55,N/A,2024-10-17
FR 2733,Berliin,Ryanair,10:15,N/A,2024-10-17
BT 813,Billund,Air Baltic Corporation,10:30,N/A,2024-10-17
SK 749,Stockholm (Arlanda),Scandinavian Airlines System (SAS),11:05,N/A,2024-10-17
FR 4764,Milano (Bergamo),Ryanair,11:10,N/A,2024-10-17
FR 9641,Paphos,Ryanair,11:20,N/A,2024-10-17
AY 1016,Helsingi,Finnair,11:45,N/A,2024-10-17
SK 2419,Oslo,Scandinavian Airlines System (SAS),12:20,N/A,2024-10-17
TK 1422,Istanbul,Turkish Airlines,12:35,N/A,2024-10-17
AY 1018,Helsingi,Finnair,12:55,N/A,2024-10-17
BT 879,Malaga,Air Baltic Corporation,13:35,N/A,2024-10-17
LH 881,Frankfurt,Deutsche Lufthansa,13:45,N/A,2024-10-17
SK 1773,Stockholm (Arlanda),Scandinavian Airlines System (SAS),13:55,N/A,2024-10-17
BT 891,Palma De Mallorca,Air Baltic Corporation,14:00,N/A,2024-10-17
LO 786,Varssavi (Chopin),LOT - Polish Airlines,14:20,N/A,2024-10-17
AY 1020,Helsingi,Finnair,14:55,N/A,2024-10-17
FR 4623,Stockholm (Arlanda),Ryanair,15:00,N/A,2024-10-17
BT 811,Kopenhaagen,Air Baltic Corporation,15:20,N/A,2024-10-17
BT 314,Riia,Air Baltic Corporation,15:20,N/A,2024-10-17
BT 871,London (Gatwick),Air Baltic Corporation,15:55,N/A,2024-10-17
FR 736,Viin,Ryanair,16:20,N/A,2024-10-17
SK 1745,Stockholm (Arlanda),Scandinavian Airlines System (SAS),16:35,N/A,2024-10-17
EW 4281,Praha,Eurowings,16:35,N/A,2024-10-17
AY 1022,Helsingi,Finnair,16:35,N/A,2024-10-17
OJ 225,Kärdla,Nyxair,17:00,N/A,2024-10-17
AY 1024,Helsingi,Finnair,17:20,N/A,2024-10-17
FR 4645,Stockholm (Arlanda),Ryanair,18:15,N/A,2024-10-17
LH 883,Frankfurt,Deutsche Lufthansa,18:25,N/A,2024-10-17
LO 788,Varssavi (Chopin),LOT - Polish Airlines,18:30,N/A,2024-10-17
OJ 207,Kuressaare,Nyxair,18:30,N/A,2024-10-17
LH 2405,München,Deutsche Lufthansa,19:00,N/A,2024-10-17
TK 1424,Istanbul,Turkish Airlines,19:40,N/A,2024-10-17
BT 906,Vilnius,Air Baltic Corporation,19:45,N/A,2024-10-17
SK 1749,Stockholm (Arlanda),Scandinavian Airlines System (SAS),19:55,N/A,2024-10-17
TO 7409,Pariis (Orly),Transavia France,19:55,N/A,2024-10-17
AY 1028,Helsingi,Finnair,20:00,N/A,2024-10-17
BT 318,Riia,Air Baltic Corporation,21:40,N/A,2024-10-17
AY 1032,Helsingi,Finnair,22:20,N/A,2024-10-17
FR 9914,Barcelona,Ryanair,22:25,N/A,2024-10-17
BT 802,Tampere,Air Baltic Corporation,23:35,N/A,2024-10-17
