flight_number,flight_title,service_provider_name,scheduled_time,departure_time,date
LO 792,Varssavi (Chopin),LOT - Polish Airlines,05:40,N/A,2026-02-25
BT 362,Riia,Air Baltic Corporation,05:40,N/A,2026-02-25
LH 885,Frankfurt,Deutsche Lufthansa,06:00,N/A,2026-02-25
AY 1036,Helsingi,Finnair,06:00,N/A,2026-02-25
LX 1317,Zürich,Swiss,06:10,N/A,2026-02-25
SK 1791,Kopenhaagen,Scandinavian Airlines System (SAS),06:25,N/A,2026-02-25
BT 851,Brüssel,Air Baltic Corporation,06:40,N/A,2026-02-25
BT 877,Barcelona,Air Baltic Corporation,06:45,N/A,2026-02-25
BT 904,Vilnius,Air Baltic Corporation,07:00,N/A,2026-02-25
SK 1783,Stockholm (Arlanda),Scandinavian Airlines System (SAS),07:00,N/A,2026-02-25
BT 857,Amsterdam,Air Baltic Corporation,07:25,N/A,2026-02-25
OJ 223,Kärdla,Nyxair,07:30,N/A,2026-02-25
OJ 201,Kuressaare,Nyxair,07:40,N/A,2026-02-25
W6 1968,Vilnius,Wizz Air Hungary,08:00,N/A,2026-02-25
AY 1012,Helsingi,Finnair,08:25,N/A,2026-02-25
BT 312,Riia,Air Baltic Corporation,08:55,N/A,2026-02-25
W4 6768,Veneetsia (Marco Polo),Wizz Air Malta,10:20,N/A,2026-02-25
AY 1014,Helsingi,Finnair,10:35,N/A,2026-02-25
SK 1797,Kopenhaagen,Scandinavian Airlines System (SAS),11:00,N/A,2026-02-25
SK 749,Stockholm (Arlanda),Scandinavian Airlines System (SAS),11:00,N/A,2026-02-25
TK 1422,Istanbul,Turkish Airlines,11:25,N/A,2026-02-25
D8 2011,Oslo,Norwegian Air Sweden AOC,12:15,N/A,2026-02-25
BT 811,Kopenhaagen,Air Baltic Corporation,13:50,N/A,2026-02-25
LH 881,Frankfurt,Deutsche Lufthansa,13:55,N/A,2026-02-25
BT 859,Amsterdam,Air Baltic Corporation,14:00,N/A,2026-02-25
BT 316,Riia,Air Baltic Corporation,14:10,N/A,2026-02-25
AY 1020,Helsingi,Finnair,14:40,N/A,2026-02-25
SK 1745,Stockholm (Arlanda),Scandinavian Airlines System (SAS),15:40,N/A,2026-02-25
AY 1022,Helsingi,Finnair,15:40,N/A,2026-02-25
SK 1787,Kopenhaagen,Scandinavian Airlines System (SAS),15:45,N/A,2026-02-25
OJ 225,Kärdla,Nyxair,17:00,N/A,2026-02-25
BT 823,München,Air Baltic Corporation,17:00,N/A,2026-02-25
AY 1024,Helsingi,Finnair,17:00,N/A,2026-02-25
BT 861,Pariis (Charles De Gaulle),Air Baltic Corporation,17:10,N/A,2026-02-25
AY 1026,Helsingi,Finnair,17:20,N/A,2026-02-25
LH 883,Frankfurt,Deutsche Lufthansa,17:45,N/A,2026-02-25
OJ 207,Kuressaare,Nyxair,18:30,N/A,2026-02-25
LO 788,Varssavi (Chopin),LOT - Polish Airlines,18:30,N/A,2026-02-25
BT 906,Vilnius,Air Baltic Corporation,18:30,N/A,2026-02-25
SK 1749,Stockholm (Arlanda),Scandinavian Airlines System (SAS),20:00,N/A,2026-02-25
BT 318,Riia,Air Baltic Corporation,21:25,N/A,2026-02-25
AY 1028,Helsingi,Finnair,21:30,N/A,2026-02-25
FR 2224,London (Stansted),Ryanair,22:15,N/A,2026-02-25
AY 1032,Helsingi,Finnair,22:20,N/A,2026-02-25
