flight_number,flight_title,service_provider_name,scheduled_time,departure_time,date
SK 1791,Kopenhaagen,Scandinavian Airlines System (SAS),N/A,N/A,2026-06-04
SK 1771,Stockholm (Arlanda),Scandinavian Airlines System (SAS),N/A,N/A,2026-06-04
BT 877,Barcelona,Air Baltic Corporation,07:20,N/A,2026-06-04
BT 879,Malaga,Air Baltic Corporation,07:30,N/A,2026-06-04
BT 861,Pariis (Charles De Gaulle),Air Baltic Corporation,N/A,N/A,2026-06-04
BT 857,Amsterdam,Air Baltic Corporation,07:30,N/A,2026-06-04
OJ 223,Kärdla,Nyxair,07:30,N/A,2026-06-04
OJ 201,Kuressaare,Nyxair,07:40,N/A,2026-06-04
AY 1012,Helsingi,Finnair,07:55,N/A,2026-06-04
LO 790,Varssavi (Chopin),LOT - Polish Airlines,08:55,N/A,2026-06-04
BT 312,Riia,Air Baltic Corporation,09:20,N/A,2026-06-04
W6 1726,Gdańsk (Lech Wałęsa),Wizz Air Hungary,09:30,N/A,2026-06-04
BT 902,Vilnius,Air Baltic Corporation,09:35,N/A,2026-06-04
W4 6768,Veneetsia (Marco Polo),Wizz Air Malta,10:20,N/A,2026-06-04
AY 1014,Helsingi,Finnair,10:55,N/A,2026-06-04
TK 1422,Istanbul,Turkish Airlines,11:15,N/A,2026-06-04
SK 1797,Kopenhaagen,Scandinavian Airlines System (SAS),11:20,N/A,2026-06-04
AY 1016,Helsingi,Finnair,12:50,N/A,2026-06-04
LH 881,Frankfurt,Deutsche Lufthansa,13:55,N/A,2026-06-04
BT 314,Riia,Air Baltic Corporation,14:00,N/A,2026-06-04
BT 859,Amsterdam,Air Baltic Corporation,14:05,N/A,2026-06-04
LO 786,Varssavi (Chopin),LOT - Polish Airlines,14:20,N/A,2026-06-04
AY 1018,Helsingi,Finnair,14:40,N/A,2026-06-04
FR 4611,Stockholm (Arlanda),Ryanair,14:45,N/A,2026-06-04
HN 3415,Tivat,Heston Airlines,15:00,N/A,2026-06-04
SK 1787,Kopenhaagen,Scandinavian Airlines System (SAS),15:50,N/A,2026-06-04
SK 1745,Stockholm (Arlanda),Scandinavian Airlines System (SAS),16:00,N/A,2026-06-04
AY 1024,Helsingi,Finnair,16:10,N/A,2026-06-04
AY 1020,Helsingi,Finnair,16:40,N/A,2026-06-04
BT 813,Billund,Air Baltic Corporation,16:40,N/A,2026-06-04
BT 871,London (Gatwick),Air Baltic Corporation,17:00,N/A,2026-06-04
OJ 225,Kärdla,Nyxair,17:00,N/A,2026-06-04
W6 2424,Budapest,Wizz Air Hungary,17:05,N/A,2026-06-04
AY 1022,Helsingi,Finnair,17:20,N/A,2026-06-04
W6 2046,Kraków,Wizz Air Hungary,17:30,N/A,2026-06-04
FR 2224,London (Stansted),Ryanair,17:30,N/A,2026-06-04
BT 316,Riia,Air Baltic Corporation,17:45,N/A,2026-06-04
OJ 207,Kuressaare,Nyxair,18:30,N/A,2026-06-04
LO 788,Varssavi (Chopin),LOT - Polish Airlines,18:40,N/A,2026-06-04
BT 823,München,Air Baltic Corporation,19:10,N/A,2026-06-04
TK 1424,Istanbul,Turkish Airlines,19:35,N/A,2026-06-04
SK 1749,Stockholm (Arlanda),Scandinavian Airlines System (SAS),20:20,N/A,2026-06-04
BT 906,Vilnius,Air Baltic Corporation,20:35,N/A,2026-06-04
AY 1028,Helsingi,Finnair,21:20,N/A,2026-06-04
BT 318,Riia,Air Baltic Corporation,21:40,N/A,2026-06-04
FR 9914,Barcelona,Ryanair,22:35,N/A,2026-06-04
FR 4623,Stockholm (Arlanda),Ryanair,22:45,N/A,2026-06-04
AY 1032,Helsingi,Finnair,23:15,N/A,2026-06-04
